1984,168,320,1.9047619047619,190,1.13095238095238,4,0.0238095238095238
2007,159,314,1.9748427672956,205,1.28930817610063,134,0.842767295597484
2009,175,338,1.93142857142857,211,1.20571428571429,51,0.291428571428571
2014,34,65,1.91176470588235,42,1.23529411764706,18,0.529411764705882
2016,22,43,1.95454545454545,28,1.27272727272727,15,0.681818181818182
2018,29,56,1.93103448275862,37,1.48,6,0.206896551724138
1992,154,296,1.92207792207792,210,1.36363636363636,101,0.655844155844156
1999,186,363,1.95161290322581,277,1.48924731182796,26,0.139784946236559
2006,138,269,1.94927536231884,202,1.46376811594203,117,0.847826086956522
2017,78,152,1.94871794871795,116,1.48717948717949,42,0.538461538461538
1989,228,449,1.96929824561404,263,1.15350877192982,122,0.535087719298246
1991,178,341,1.91573033707865,264,1.48314606741573,22,0.123595505617978
1998,175,344,1.96571428571429,276,1.57714285714286,124,0.708571428571429
2000,157,295,1.87898089171975,151,0.961783439490446,10,0.0636942675159236
1986,192,375,1.953125,307,1.59895833333333,85,0.442708333333333
1988,190,369,1.94210526315789,282,1.48421052631579,148,0.778947368421053
2003,120,235,1.95833333333333,154,1.28333333333333,70,0.583333333333333
2005,144,282,1.95833333333333,219,1.52083333333333,118,0.819444444444444
1985,201,396,1.97014925373134,298,1.48258706467662,142,0.706467661691542
1987,209,397,1.89952153110048,313,1.49760765550239,26,0.124401913875598
2002,120,231,1.925,93,0.775,40,0.333333333333333
2004,129,254,1.96899224806202,179,1.38759689922481,104,0.806201550387597
2019,35,69,1.97142857142857,19,0.904761904761905,26,0.742857142857143
1983,114,224,1.96491228070175,153,1.34210526315789,50,0.43859649122807
1990,204,396,1.94117647058824,297,1.45588235294118,75,0.367647058823529
2001,131,253,1.93129770992366,201,1.53435114503817,86,0.656488549618321
2008,171,319,1.86549707602339,194,1.13450292397661,116,0.678362573099415
2015,65,125,1.92307692307692,90,1.38461538461538,32,0.492307692307692
1995,179,354,1.97765363128492,232,1.29608938547486,104,0.581005586592179
1996,236,465,1.97033898305085,363,1.53813559322034,234,0.991525423728814
2010,23,46,2,23,1,7,0.304347826086957
2013,94,183,1.9468085106383,113,1.20212765957447,45,0.478723404255319
1993,191,377,1.9738219895288,279,1.46073298429319,117,0.612565445026178
1994,180,358,1.98888888888889,290,1.61111111111111,98,0.544444444444444
1997,173,339,1.95953757225434,227,1.36746987951807,78,0.450867052023121
2012,121,235,1.94214876033058,141,1.19491525423729,13,0.107438016528926
