NULL,NULL,NULL
NULL,27411,36177
NULL,27411,36177
NULL,NULL,36182
NULL,NULL,36182
NULL,27417,NULL
NULL,27376,NULL
40624,27376,NULL
NULL,27416,36078
NULL,27416,36078
NULL,27413,27384
NULL,27413,27384
NULL,27401,NULL
NULL,27401,NULL
NULL,27402,NULL
NULL,27402,NULL
NULL,27374,NULL
NULL,27374,NULL
NULL,27386,27383
NULL,27386,27383
40627,27407,NULL
40628,27407,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,27409,27399
NULL,36081,NULL
NULL,NULL,36082
NULL,NULL,36082
NULL,27382,NULL
40626,27382,NULL
40625,36068,NULL
40630,36068,NULL
NULL,27408,NULL
NULL,27390,27399
NULL,27390,27399
NULL,NULL,27381
NULL,27388,27387
NULL,27388,27387
40629,36067,NULL
NULL,36067,NULL
NULL,27371,NULL
NULL,27371,NULL
NULL,NULL,NULL
NULL,NULL,NULL
NULL,36083,NULL
NULL,36083,NULL
NULL,36084,27400
NULL,36084,27400
NULL,27404,27394
NULL,27404,27394
NULL,NULL,36183
NULL,NULL,36183
NULL,36077,36179
NULL,36077,36179
NULL,36069,36181
NULL,36069,36181
NULL,8829,8810
NULL,8831,12795
NULL,8831,12795
31935,NULL,14236
31934,NULL,14236
NULL,13126,14337
NULL,13126,14337
NULL,8957,8816
NULL,8752,12840
NULL,8752,12840
NULL,NULL,NULL
18444,14320,14321
NULL,14320,14321
NULL,NULL,12815
NULL,NULL,12815
18445,12892,12895
NULL,12892,12895
NULL,12892,12895
31392,NULL,12784
NULL,8865,12784
NULL,8865,12784
32071,NULL,12784
NULL,NULL,12784
NULL,14332,17973
NULL,14332,17973
18446,12933,14333
NULL,12933,14333
NULL,NULL,NULL
NULL,8811,8832
NULL,14334,14335
NULL,14334,14335
31391,NULL,8832
NULL,NULL,8832
31916,8811,8832
NULL,8811,8832
NULL,8756,25662
NULL,8756,25662
NULL,8756,NULL
NULL,8756,NULL
NULL,8817,12785
NULL,8817,12785
NULL,8817,12785
NULL,NULL,12785
NULL,NULL,12785
NULL,14234,12776
NULL,14234,18358
NULL,8752,12840
NULL,8752,12840
NULL,8941,25761
NULL,8941,25761
NULL,8941,25761
NULL,NULL,NULL
NULL,NULL,NULL
NULL,25628,18118
NULL,8753,8940
NULL,8753,8940
NULL,NULL,NULL
NULL,25628,18118
NULL,25628,18118
18231,14265,8844
NULL,14265,8940
NULL,14265,8940
31937,NULL,8812
NULL,NULL,8812
18434,14252,13127
NULL,14252,13127
18245,25664,8942
31390,NULL,8836
31939,8813,8836
31938,8813,8836
NULL,8754,8826
13200,8754,8826
23020,8754,8826
NULL,8754,8826
NULL,12845,NULL
NULL,25634,25629
NULL,25634,25629
18447,8863,NULL
