"","year","mean","sd","year.1","mean.1","sd.1","year.2","mean.2","sd.2"
"1",1982,1.06767063775177,0.718576561519803,1982,-0.383248446534347,0.335180692671492,1982,0.342211095608709,0.923638419933024
"2",1983,-0.426480096583998,0.932439000501183,1983,-1.17939521064584,0.40968978908135,1983,-0.802937653614917,0.798869457195888
"3",1984,-0.906504805248547,0.356217380296861,1984,-1.4106988912263,0.260272637962282,1984,-1.15860184823742,0.398601517683016
"4",1985,-0.519823789345609,0.402610584726675,1985,0.449152708235223,0.515578368666628,1985,-0.00683623180281552,0.672579851621543
"5",1986,-0.0171749058863477,0.609266963013302,1986,0.537781393638653,0.529569561088119,1986,0.276625487979829,0.619796641085625
"6",1987,-1.58318213709596,0.578620705884334,1987,-0.183812417701528,0.573732461250468,1987,-0.92465521032211,0.910916492346827
"7",1988,-2.0433215152133,0.613000064016922,1988,-1.64226929876528,0.480594507302244,1988,-1.84279540698929,0.572800870485964
"8",1989,0.0285811848077034,0.402645903426928,1989,0.233148900533398,0.568005975632274,1989,0.130865042670551,0.489077876129643
"9",1990,-0.88407502157864,0.437103080091322,1990,-0.458793618465822,0.688113794731635,1990,-0.671434320022231,0.600507961462312
"10",1991,0.38072525295317,0.602206313191835,1991,-0.480702235938012,0.799513744601816,1991,-0.0753245941068674,0.821400325834317
"11",1992,0.0447384184346431,0.511374221089056,1992,-0.570823574123297,0.353753961517992,1992,-0.244937813357329,0.534605281664081
"12",1993,-0.348501834491469,0.359635801442029,1993,-1.2541747996817,0.201258730128011,1993,-0.801338317086584,0.545022381002771
"13",1994,0.400657045414207,0.522902418515108,1994,-0.738625042755984,0.241383052489591,1994,-0.168983998670888,0.706872909887567
"14",1995,-0.782262531821018,0.171968022864793,1995,0.149474043349842,0.30608547031955,1995,-0.316394244235588,0.536474835385385
"15",1996,0.423179572813034,0.481703403736846,1996,-1.09536153606293,0.594485070063409,1996,-0.380753955415419,0.942669615499541
"16",1997,0.286124744141886,0.625880572054856,1997,0.0938635638733353,0.57769379047067,1997,0.184339413411477,0.589940743861141
"17",1998,0.127216144366211,0.187249646617832,1998,1.33491432860308,0.553662794360047,1998,0.695544701654148,0.733298249795804
"18",1999,-1.19972512343011,0.480928595158073,1999,-0.393821965598743,0.370929021270382,1999,-0.796773544514425,0.587802726451361
"19",2000,0.637989836316084,0.333413158151776,2000,-1.29493476130319,1.06800727504837,2000,-0.328472462493555,1.25621559921403
"20",2001,0.29609621099269,1.10953784341756,2001,1.00888016008238,0.523437927156393,2001,0.652488185537535,0.918014681026122
"21",2002,0.671526079767411,0.591847842834903,2002,0.233488034253379,0.679391927070401,2002,0.439623585083512,0.659414092784035
"22",2003,-0.487548617469706,0.481682907996691,2003,0.0845499279475425,0.456855457334098,2003,-0.184672916954692,0.54083628644764
"23",2004,0.0616375639482588,0.50398375242228,2004,0.650568629594287,0.594416406215173,2004,0.356103096771273,0.614502333018142
"24",2005,0.877722870947876,0.719182968748295,2005,1.64078418381929,0.340989282490807,2005,1.25925352738358,0.67249160147366
"25",2006,-0.179714527930923,0.558318166795708,2006,1.19196500855411,0.625471192155975,2006,0.506125240311594,0.910405161239059
"26",2007,-0.307688036137189,0.650111411207598,2007,-2.00412535088206,0.34687919792642,2007,-1.15590669350963,1.00861898106377
"27",2008,-0.213890218348435,0.551221259265322,2008,0.818836591983079,0.637281578065578,2008,0.332847504768249,0.786327788427559
"28",2009,0.456618622851807,0.598970154706976,2009,0.0195997445243029,0.557698130104689,2009,0.250962680109452,0.604989264618664
"29",2010,0.658089822312384,0.411640231119453,2010,-0.348753381269612,0.701250858231277,2010,0.154668220521386,0.761245231147667
"30",2011,0.0111201194093689,0.488623201983521,2011,-0.415726627254661,0.431750435425432,2011,-0.202303253922646,0.498301835600787
"31",2012,0.0498107812268016,0.72681385283636,2012,-0.103750579354414,0.739165056260472,2012,-0.0269698990638061,0.715504830754319
"32",2013,-0.34161731970925,0.330608831885435,2013,-0.544215656253032,0.421322372519567,2013,-0.44887526258537,0.38398062916565
"33",2014,0.135490004048281,0.308800314567487,2014,1.20851977996975,0.359819288098462,2014,0.703564591300823,0.641275602664844
"34",2015,1.58829965355241,0.754787944111504,2015,2.1094619869603,0.916036474899366,2015,1.83355251633259,0.850802836891587
"35",2016,-2.11579355323038,0.392133214135885,2016,-0.570037070556667,0.409271483261029,2016,-1.34291531189352,0.8852486126005
"36",2017,1.58196869641341,0.402411695371447,2017,2.30279260844914,0.506601104130523,2017,1.94238065243127,0.578374029955332
"37",2018,1.25567431162307,1.23060557814195,2018,-0.0181786019734495,0.351922500513905,2018,0.618747854824809,1.0956618168467
"38",2019,1.41980493965023,0.704136946665682,2019,0.370228310991682,0.749182408630714,2019,0.864146724478055,0.888344778864253
"39",2020,0.640883563786989,0.47797756275294,2020,-0.105492935471734,0.398099777991743,2020,0.289647564135825,0.575351691311547
